X	PHI
  -3.000	  -0.061
  -2.939	  -0.122
  -2.879	  -0.184
  -2.818	  -0.245
  -2.758	  -0.306
  -2.697	  -0.367
  -2.636	  -0.428
  -2.576	  -0.490
  -2.515	  -0.551
  -2.455	  -0.612
  -2.394	  -0.673
  -2.333	  -0.734
  -2.273	  -0.796
  -2.212	  -0.857
  -2.152	  -0.918
  -2.091	  -0.979
  -2.030	  -1.040
  -1.970	  -1.102
  -1.909	  -1.163
  -1.848	  -1.224
  -1.788	  -1.285
  -1.727	  -1.346
  -1.667	  -1.408
  -1.606	  -1.469
  -1.545	  -1.530
  -1.485	  -1.591
  -1.424	  -1.652
  -1.364	  -1.714
  -1.303	  -1.775
  -1.242	  -1.836
  -1.182	  -1.897
  -1.121	  -1.958
  -1.061	  -2.020
  -1.000	  -2.081
  -0.939	  -2.138
  -0.879	  -2.192
  -0.818	  -2.243
  -0.758	  -2.290
  -0.697	  -2.333
  -0.636	  -2.372
  -0.576	  -2.408
  -0.515	  -2.441
  -0.455	  -2.470
  -0.394	  -2.495
  -0.333	  -2.516
  -0.273	  -2.534
  -0.212	  -2.549
  -0.152	  -2.560
  -0.091	  -2.567
  -0.030	  -2.570
   0.030	  -2.570
   0.091	  -2.567
   0.152	  -2.560
   0.212	  -2.549
   0.273	  -2.534
   0.333	  -2.516
   0.394	  -2.495
   0.455	  -2.470
   0.515	  -2.441
   0.576	  -2.408
   0.636	  -2.372
   0.697	  -2.333
   0.758	  -2.290
   0.818	  -2.243
   0.879	  -2.192
   0.939	  -2.138
   1.000	  -2.081
   1.061	  -2.020
   1.121	  -1.958
   1.182	  -1.897
   1.242	  -1.836
   1.303	  -1.775
   1.364	  -1.714
   1.424	  -1.652
   1.485	  -1.591
   1.545	  -1.530
   1.606	  -1.469
   1.667	  -1.408
   1.727	  -1.346
   1.788	  -1.285
   1.848	  -1.224
   1.909	  -1.163
   1.970	  -1.102
   2.030	  -1.040
   2.091	  -0.979
   2.152	  -0.918
   2.212	  -0.857
   2.273	  -0.796
   2.333	  -0.734
   2.394	  -0.673
   2.455	  -0.612
   2.515	  -0.551
   2.576	  -0.490
   2.636	  -0.428
   2.697	  -0.367
   2.758	  -0.306
   2.818	  -0.245
   2.879	  -0.184
   2.939	  -0.122
   3.000	  -0.061
