X	PHI
  -3.000	  -0.001
  -2.999	  -0.001
  -2.999	  -0.002
  -2.998	  -0.002
  -2.998	  -0.003
  -2.997	  -0.004
  -2.996	  -0.004
  -2.996	  -0.005
  -2.995	  -0.005
  -2.995	  -0.006
  -2.994	  -0.007
  -2.993	  -0.007
  -2.993	  -0.008
  -2.992	  -0.008
  -2.992	  -0.009
  -2.991	  -0.010
  -2.990	  -0.010
  -2.990	  -0.011
  -2.989	  -0.011
  -2.989	  -0.012
  -2.988	  -0.013
  -2.987	  -0.013
  -2.987	  -0.014
  -2.986	  -0.014
  -2.986	  -0.015
  -2.985	  -0.016
  -2.984	  -0.016
  -2.984	  -0.017
  -2.983	  -0.017
  -2.983	  -0.018
  -2.982	  -0.019
  -2.981	  -0.019
  -2.981	  -0.020
  -2.980	  -0.020
  -2.980	  -0.021
  -2.979	  -0.022
  -2.978	  -0.022
  -2.978	  -0.023
  -2.977	  -0.023
  -2.977	  -0.024
  -2.976	  -0.025
  -2.975	  -0.025
  -2.975	  -0.026
  -2.974	  -0.026
  -2.974	  -0.027
  -2.973	  -0.028
  -2.972	  -0.028
  -2.972	  -0.029
  -2.971	  -0.029
  -2.971	  -0.030
  -2.970	  -0.031
  -2.969	  -0.031
  -2.969	  -0.032
  -2.968	  -0.032
  -2.968	  -0.033
  -2.967	  -0.034
  -2.966	  -0.034
  -2.966	  -0.035
  -2.965	  -0.035
  -2.965	  -0.036
  -2.964	  -0.037
  -2.963	  -0.037
  -2.963	  -0.038
  -2.962	  -0.038
  -2.962	  -0.039
  -2.961	  -0.040
  -2.960	  -0.040
  -2.960	  -0.041
  -2.959	  -0.041
  -2.959	  -0.042
  -2.958	  -0.043
  -2.957	  -0.043
  -2.957	  -0.044
  -2.956	  -0.044
  -2.956	  -0.045
  -2.955	  -0.046
  -2.954	  -0.046
  -2.954	  -0.047
  -2.953	  -0.047
  -2.953	  -0.048
  -2.952	  -0.049
  -2.951	  -0.049
  -2.951	  -0.050
  -2.950	  -0.050
  -2.950	  -0.051
  -2.949	  -0.052
  -2.948	  -0.052
  -2.948	  -0.053
  -2.947	  -0.053
  -2.947	  -0.054
  -2.946	  -0.055
  -2.945	  -0.055
  -2.945	  -0.056
  -2.944	  -0.056
  -2.944	  -0.057
  -2.943	  -0.058
  -2.942	  -0.058
  -2.942	  -0.059
  -2.941	  -0.059
  -2.941	  -0.060
  -2.940	  -0.061
  -2.939	  -0.061
  -2.939	  -0.062
  -2.938	  -0.062
  -2.938	  -0.063
  -2.937	  -0.064
  -2.936	  -0.064
  -2.936	  -0.065
  -2.935	  -0.065
  -2.935	  -0.066
  -2.934	  -0.067
  -2.933	  -0.067
  -2.933	  -0.068
  -2.932	  -0.068
  -2.932	  -0.069
  -2.931	  -0.070
  -2.930	  -0.070
  -2.930	  -0.071
  -2.929	  -0.071
  -2.929	  -0.072
  -2.928	  -0.073
  -2.927	  -0.073
  -2.927	  -0.074
  -2.926	  -0.074
  -2.926	  -0.075
  -2.925	  -0.076
  -2.924	  -0.076
  -2.924	  -0.077
  -2.923	  -0.077
  -2.923	  -0.078
  -2.922	  -0.079
  -2.921	  -0.079
  -2.921	  -0.080
  -2.920	  -0.080
  -2.920	  -0.081
  -2.919	  -0.082
  -2.918	  -0.082
  -2.918	  -0.083
  -2.917	  -0.083
  -2.917	  -0.084
  -2.916	  -0.085
  -2.915	  -0.085
  -2.915	  -0.086
  -2.914	  -0.086
  -2.914	  -0.087
  -2.913	  -0.088
  -2.912	  -0.088
  -2.912	  -0.089
  -2.911	  -0.089
  -2.911	  -0.090
  -2.910	  -0.091
  -2.909	  -0.091
  -2.909	  -0.092
  -2.908	  -0.092
